Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Total,12.40,67.20,1890,Timor-Leste,Oceania
Male,12.80,65.60,10980,Timor-Leste,Oceania
Female,12.00,68.80,10980,Timor-Leste,Oceania
Total,11.50,57.50,690,Togo,Africa
Male,12.40,56.80,1533,Togo,Africa
Female,9.20,58.10,1533,Togo,Africa
Total,13.20,70.10,4300,Tonga,Oceania
Male,14.10,68.10,6852,Tonga,Oceania
Female,14.70,72.00,6852,Tonga,Oceania
Total,12.70,71.90,16890,Trinidad and Tobago,North America
Male,12.20,69.20,36468,Trinidad and Tobago,North America
Female,13.00,74.80,36468,Trinidad and Tobago,North America
Total,14.50,75.00,3360,Tunisia,Africa
Male,14.00,72.80,15499,Tunisia,Africa
Female,15.00,77.40,15499,Tunisia,Africa
Total,13.80,74.50,9610,Turkey,Asia
Male,14.30,71.20,25618,Turkey,Asia
Female,13.40,77.80,25618,Turkey,Asia
Total,10.60,66.70,6740,Turkmenistan,Africa
Male,10.90,63.20,11705,Turkmenistan,Africa
Female,10.40,70.20,11705,Turkmenistan,Africa
Total,11.00,57.10,780,Uganda,Europe
Male,11.70,55.30,2016,Uganda,Europe
Female,10.80,58.70,2016,Uganda,Europe
Total,14.80,69.40,3370,Ukraine,Asia
Male,14.40,64.00,9704,Ukraine,Asia
Female,15.10,74.80,9704,Ukraine,Asia
Total,12.20,76.30,43470,United Arab Emirates,Europe
Male,,75.60,67774,United Arab Emirates,Europe
Female,,77.80,67774,United Arab Emirates,Europe
Total,16.40,80.40,42370,United Kingdom,Europe
Male,16.00,78.30,48304,United Kingdom,Europe
Female,16.80,82.30,48304,United Kingdom,Europe
Total,16.20,78.70,65760,United States of America,North America
Male,15.70,76.20,60900,United States of America,North America
Female,17.50,81.10,60900,United States of America,North America
Total,14.70,76.80,16230,Uruguay,South America
Male,13.80,72.90,21543,Uruguay,South America
Female,15.60,80.40,21543,Uruguay,South America
Total,11.40,69.70,1800,Uzbekistan,Asia
Male,11.60,66.90,5574,Uzbekistan,Asia
Female,11.30,72.50,5574,Uzbekistan,Asia
Total,10.80,69.10,3170,Vanuatu,Oceania
Male,11.10,67.60,3459,Vanuatu,Oceania
